horizon,tier,execution,sigma_h_bps,r2,forecastable_bps,cost_bps,ratio
15m,LOW,taker,215.78,0.001,6.82,5.73,1.191
15m,LOW,taker,215.78,0.003,11.82,5.73,2.063
15m,LOW,taker,215.78,0.005,15.26,5.73,2.663
15m,LOW,taker,215.78,0.01,21.58,5.73,3.766
60m,HIGH,taker,132.77,0.001,4.2,5.73,0.733
60m,HIGH,taker,132.77,0.003,7.27,5.73,1.269
60m,HIGH,taker,132.77,0.005,9.39,5.73,1.639
60m,HIGH,taker,132.77,0.01,13.28,5.73,2.317
60m,MID,taker,151.95,0.001,4.81,5.73,0.839
60m,MID,taker,151.95,0.003,8.32,5.73,1.453
60m,MID,taker,151.95,0.005,10.74,5.73,1.875
60m,MID,taker,151.95,0.01,15.2,5.73,2.652
60m,LOW,taker,428.05,0.001,13.54,5.73,2.363
60m,LOW,taker,428.05,0.003,23.45,5.73,4.092
60m,LOW,taker,428.05,0.005,30.27,5.73,5.283
60m,LOW,taker,428.05,0.01,42.81,5.73,7.471
4h,HIGH,taker,220.86,0.001,6.98,5.73,1.219
4h,HIGH,taker,220.86,0.003,12.1,5.73,2.111
4h,HIGH,taker,220.86,0.005,15.62,5.73,2.726
4h,HIGH,taker,220.86,0.01,22.09,5.73,3.855
4h,MID,taker,275.17,0.001,8.7,5.73,1.519
4h,MID,taker,275.17,0.003,15.07,5.73,2.631
4h,MID,taker,275.17,0.005,19.46,5.73,3.396
4h,MID,taker,275.17,0.01,27.52,5.73,4.803
4h,LOW,taker,592.59,0.001,18.74,5.73,3.271
4h,LOW,taker,592.59,0.003,32.46,5.73,5.665
4h,LOW,taker,592.59,0.005,41.9,5.73,7.314
4h,LOW,taker,592.59,0.01,59.26,5.73,10.343
