dt,symbol,brk,rv24,fund8,fade,cum
2025-12-22 08:00:00,NEAR,1,0.009935971806533208,1.25e-05,0.000705422160268921,-0.00039457783973107906
2025-12-22 12:00:00,ASTER,1,0.01093410895131283,1.0806412500000001e-05,0.026168630646463204,0.024674052806732124
2025-12-22 19:00:00,VVV,-1,0.01143770933832258,-0.00011751533750000001,0.020730589463496513,0.044304642270228636
2025-12-23 23:00:00,CC,1,0.020003004040557836,1.25e-05,0.000869321268935553,0.044073963539164186
2025-12-24 12:00:00,ZEC,1,0.009865583982145227,1.25e-05,-0.02226974513258287,0.020704218406581317
2025-12-24 14:00:00,ZEC,1,0.011026726895304201,1.25e-05,-0.01250315198361176,0.007101066422969557
2025-12-24 14:00:00,CC,1,0.019863891576830356,4.7709124999999995e-06,0.000700035030337759,0.006701101453307315
2025-12-24 14:00:00,ORDI,1,0.00985666798469064,1.25e-05,-0.013578615651258286,-0.00797751419795097
2025-12-24 15:00:00,CC,1,0.019237838355905774,5.0092125e-06,0.05089476440298422,0.041817250205033255
2025-12-24 15:00:00,ZEC,1,0.011073183552429876,1.25e-05,0.00711730540538427,0.04783455561041752
2025-12-25 01:00:00,MEGA,1,0.020277765373980437,1.25e-05,0.023792820221449795,0.07052737583186731
2025-12-25 16:00:00,PUMP,1,0.010546144053832899,1.25e-05,0.02463853076455585,0.09406590659642317
2025-12-25 20:00:00,STBL,1,0.016331097003237163,2.07866625e-05,0.007282542564628719,0.10024844916105188
2025-12-26 02:00:00,kBONK,1,0.010295547828346203,6.100500000000002e-07,0.007518832414027228,0.10666728157507911
2025-12-26 02:00:00,FARTCOIN,1,0.013833697995085043,3.3077625e-05,0.009000077114735506,0.11456735868981462
2025-12-26 04:00:00,PENDLE,1,0.010270264433177436,1.25e-05,0.012126037355512459,0.12559339604532707
2025-12-26 11:00:00,HMSTR,1,0.024539378244879593,1.25e-05,0.016736792355523864,0.14123018840085094
2025-12-26 12:00:00,OP,1,0.012605364969999998,1.043005e-05,0.021349925137736696,0.16148011353858763
2025-12-26 13:00:00,MORPHO,1,0.011839593850199927,1.25e-05,0.023042305187839333,0.18342241872642695
2025-12-26 13:00:00,SPX,1,0.012618284848706302,4.3208375e-06,0.03768295139157464,0.2200053701180016
2025-12-26 13:00:00,INJ,1,0.011194704500101621,1.25e-05,0.030255350826982424,0.249160720944984
2025-12-26 18:00:00,STABLE,1,0.022618302616146266,1.76284875e-05,0.023010301116223215,0.2710710220612072
2025-12-26 18:00:00,SKY,-1,0.010070054002990799,-9.426237499999997e-06,0.00018683149410563622,0.27015785355531285
