horizon,feature,tier,ic,t_clustered,t_nw,n_timestamps,eff_n,day_consistency,r2_pct
1,ofi,ALL,0.030098044023872218,14.153969031794427,14.10287525113203,28282,28282.0,0.8636363636363636,0.09058922540629501
1,ofi,HIGH,0.02724258228196871,12.374014330372352,12.32206229540811,27978,27978.0,0.8636363636363636,0.07421582893898354
1,ofi,MID,0.012157528245123665,0.317605172107621,0.30879442106073923,131,131.0,0.42105263157894735,0.01478054930309797
1,ofi5,ALL,0.01885593038236111,8.93185432737954,8.905203104128308,28281,28281.0,0.8636363636363636,0.03555461105844489
1,ofi5,HIGH,0.01752987896421867,7.98328130818226,7.955311609645274,27976,27976.0,0.9090909090909091,0.03072966565001562
1,ofi5,MID,-0.03773452511622607,-0.9140959468533327,-0.9334038902992718,131,131.0,0.631578947368421,0.1423894385747096
1,ofi_big,ALL,0.012804431383868227,1.481323851259067,1.4952978329146898,3250,3250.0,0.5454545454545454,0.01639534630641896
1,ofi_big,HIGH,0.012070043629544776,1.3822742074031982,1.3992588870546316,3183,3183.0,0.5,0.014568595321911446
1,eff_sz,ALL,-0.0051164093643176565,-2.3372131154806675,-2.2920764783749044,28282,28282.0,0.5,0.0026177644783277406
1,eff_sz,HIGH,-0.0031411248038158176,-1.3782729081961074,-1.3565608909254983,27978,27978.0,0.5,0.0009866665033146959
1,eff_sz,MID,-0.01466819004649317,-0.39629643134434756,-0.399684443868729,131,131.0,0.5263157894736842,0.02151557992400413
1,herf,ALL,0.005600744724312025,2.570979105585229,2.5450817656592806,28282,28282.0,0.6363636363636364,0.0031368341466908975
1,herf,HIGH,0.004186581038725932,1.8587840610913116,1.8436404743263468,27978,27978.0,0.6363636363636364,0.0017527460793819506
1,herf,MID,-0.056151872631891184,-1.4371807763559308,-1.3324929102114573,131,131.0,0.5789473684210527,0.315303280006813
1,ret1,ALL,0.030485013438022984,12.899934862941217,12.784587519947694,28282,28282.0,0.9545454545454546,0.0929336044316442
1,ret1,HIGH,0.024778898198072264,10.101395783161752,10.027005420497881,27978,27978.0,0.9545454545454546,0.061399379591042885
1,ret1,MID,0.0156157683176402,0.4041697240059422,0.4010418608784207,130,130.0,0.5263157894736842,0.02438522201502154
1,clv,ALL,0.03488284006659235,15.600259847379963,15.555415400032262,27966,27966.0,0.9545454545454546,0.12168125311114604
1,clv,HIGH,0.03160197670152873,13.686685440227821,13.688807220476871,27628,27628.0,0.9545454545454546,0.09986849314439646
1,clv,MID,0.09249287036658135,1.567777987011345,1.4929938095830952,53,53.0,0.8,0.8554931068649223
1,intensity,ALL,-0.0022751338774023456,-1.0380049068044186,-1.0350626119110828,28263,28263.0,0.5,0.0005176234160103831
1,intensity,HIGH,-0.0036733465162414815,-1.6050911058545612,-1.6035506826200752,27959,27959.0,0.5909090909090909,0.0013493474628383428
1,intensity,MID,0.017697734244676123,0.455321118091099,0.4391481167303715,131,131.0,0.5263157894736842,0.031320979739518195
1,rv60,ALL,0.003859086394397497,1.5956627777383126,1.574996480776093,28263,28263.0,0.5454545454545454,0.0014892547799423876
1,rv60,HIGH,0.004942889874762726,1.9602082351520456,1.9347681521468478,27959,27959.0,0.5909090909090909,0.002443216031403187
1,rv60,MID,-0.038431026419045715,-0.9872725638083865,-0.916980071492063,131,131.0,0.631578947368421,0.14769437916213896
5,ofi,ALL,0.01971828428472952,9.3395164486539,8.664661967522326,28278,5655.6,0.9090909090909091,0.03888107351334112
5,ofi,HIGH,0.01575015907323796,7.203203728591919,6.657825410253429,27974,5594.8,0.9090909090909091,0.024806751083230005
5,ofi,MID,0.02319699083028147,0.5847289707938083,0.5560116383438992,131,26.2,0.47368421052631576,0.05381003835801625
5,ofi5,ALL,0.00924157091028077,4.380628888624439,3.279963479882667,28277,5655.4,0.6818181818181818,0.008540663288974775
5,ofi5,HIGH,0.008863277493506369,4.026500953150795,2.9985272629878343,27972,5594.4,0.6818181818181818,0.007855768792689653
5,ofi5,MID,-0.031087861198161412,-0.8008172484514087,-0.8495500517547715,131,26.2,0.47368421052631576,0.09664551138761499
5,ofi_big,ALL,-0.0027304849608886204,-0.3189622473254097,-0.3136428879135116,3250,650.0,0.5454545454545454,0.000745554812163893
5,ofi_big,HIGH,-0.0037932353472030756,-0.4362082228165528,-0.4283741330949562,3183,636.6,0.5,0.0014388634399270838
5,eff_sz,ALL,0.002641060108939908,1.2337526888079868,1.0017067447043682,28278,5655.6,0.5454545454545454,0.0006975198499033679
5,eff_sz,HIGH,0.004351542804916185,1.9556835090818878,1.5536722200077973,27974,5594.8,0.5909090909090909,0.0018935924783017818
