sym,t,dirn,day
BOME,1785222000000,1,07-28
INJ,1785224700000,-1,07-28
PENDLE,1785226500000,-1,07-28
kSHIB,1785226500000,-1,07-28
PURR,1785235500000,-1,07-28
PURR,1785236400000,-1,07-28
ZEC,1785236400000,-1,07-28
APT,1785236400000,-1,07-28
XMR,1785238200000,-1,07-28
JTO,1785239100000,-1,07-28
KAITO,1785240900000,-1,07-28
PURR,1785243600000,-1,07-28
FET,1785244500000,-1,07-28
ORDI,1785245400000,-1,07-28
XLM,1785245400000,-1,07-28
NEAR,1785245400000,-1,07-28
BERA,1785245400000,-1,07-28
IMX,1785245400000,-1,07-28
FET,1785245400000,-1,07-28
AR,1785245400000,-1,07-28
ASTER,1785245400000,-1,07-28
XMR,1785245400000,-1,07-28
PNUT,1785245400000,-1,07-28
PENGU,1785245400000,-1,07-28
kSHIB,1785245400000,-1,07-28
STRK,1785245400000,-1,07-28
GRAM,1785245400000,-1,07-28
ZRO,1785245400000,-1,07-28
TRB,1785245400000,-1,07-28
ETC,1785245400000,-1,07-28
ZEC,1785245400000,-1,07-28
SOL,1785245400000,-1,07-28
BTC,1785245400000,-1,07-28
APT,1785245400000,-1,07-28
HBAR,1785245400000,-1,07-28
MOODENG,1785245400000,-1,07-28
MNT,1785245400000,-1,07-28
EIGEN,1785245400000,-1,07-28
WLD,1785245400000,-1,07-28
PENDLE,1785245400000,-1,07-28
VIRTUAL,1785245400000,-1,07-28
LINK,1785245400000,-1,07-28
ENS,1785245400000,-1,07-28
SAND,1785245400000,-1,07-28
CC,1785246300000,-1,07-28
BCH,1785246300000,-1,07-28
NEAR,1785246300000,-1,07-28
LDO,1785250800000,-1,07-28
JUP,1785250800000,1,07-28
XPL,1785251700000,1,07-28
JUP,1785251700000,1,07-28
VVV,1785252600000,1,07-28
MORPHO,1785253500000,1,07-28
LIT,1785253500000,1,07-28
AAVE,1785254400000,1,07-28
LIT,1785254400000,1,07-28
kBONK,1785254400000,1,07-28
LIT,1785255300000,1,07-28
SPX,1785255300000,1,07-28
XPL,1785255300000,1,07-28
AAVE,1785256200000,1,07-28
CRV,1785257100000,1,07-28
LIT,1785257100000,1,07-28
MORPHO,1785257100000,1,07-28
INJ,1785259800000,-1,07-28
POL,1785261600000,-1,07-28
TAO,1785268800000,1,07-28
CASHCAT,1785277800000,1,07-28
JTO,1785278700000,-1,07-28
ORDI,1785278700000,-1,07-28
HMSTR,1785278700000,-1,07-28
WLD,1785278700000,-1,07-28
ZRO,1785279600000,-1,07-28
BIO,1785279600000,-1,07-28
CASHCAT,1785280500000,1,07-28
CASHCAT,1785281400000,1,07-28
FIL,1785283200000,1,07-29
XLM,1785283200000,1,07-29
LINK,1785283200000,1,07-29
PYTH,1785283200000,-1,07-29
ZORA,1785284100000,-1,07-29
TAO,1785285900000,1,07-29
SKY,1785286800000,1,07-29
WLD,1785286800000,-1,07-29
CAKE,1785286800000,1,07-29
POL,1785287700000,-1,07-29
POL,1785288600000,-1,07-29
ATOM,1785289500000,-1,07-29
EIGEN,1785289500000,-1,07-29
STRK,1785289500000,-1,07-29
PURR,1785289500000,-1,07-29
ADA,1785292200000,1,07-29
BRETT,1785294900000,-1,07-29
SAND,1785294900000,-1,07-29
TIA,1785294900000,-1,07-29
WLD,1785294900000,-1,07-29
IMX,1785295800000,-1,07-29
LTC,1785295800000,-1,07-29
MINA,1785295800000,-1,07-29
APT,1785295800000,-1,07-29
ENA,1785295800000,-1,07-29
ZRO,1785295800000,-1,07-29
LDO,1785295800000,-1,07-29
AR,1785295800000,-1,07-29
PNUT,1785295800000,-1,07-29
kPEPE,1785295800000,-1,07-29
ETHFI,1785295800000,-1,07-29
NEAR,1785295800000,-1,07-29
WLD,1785295800000,-1,07-29
GRAM,1785295800000,-1,07-29
WIF,1785295800000,-1,07-29
FET,1785295800000,-1,07-29
LINEA,1785295800000,-1,07-29
STRK,1785295800000,-1,07-29
BRETT,1785295800000,-1,07-29
TIA,1785295800000,-1,07-29
NEAR,1785296700000,-1,07-29
TRUMP,1785296700000,-1,07-29
WLFI,1785296700000,-1,07-29
kPEPE,1785296700000,-1,07-29
ENA,1785296700000,-1,07-29
AR,1785296700000,-1,07-29
MELANIA,1785296700000,-1,07-29
LTC,1785296700000,-1,07-29
RENDER,1785296700000,-1,07-29
PNUT,1785296700000,-1,07-29
WLD,1785296700000,-1,07-29
IMX,1785296700000,-1,07-29
TRB,1785296700000,-1,07-29
GRASS,1785296700000,-1,07-29
TIA,1785296700000,-1,07-29
BERA,1785296700000,-1,07-29
ENA,1785297600000,-1,07-29
AVAX,1785297600000,-1,07-29
NEAR,1785297600000,-1,07-29
LINEA,1785297600000,-1,07-29
PURR,1785297600000,-1,07-29
AERO,1785297600000,-1,07-29
XMR,1785297600000,1,07-29
PUMP,1785297600000,-1,07-29
FIL,1785297600000,-1,07-29
GRAM,1785297600000,-1,07-29
AXS,1785297600000,-1,07-29
TRB,1785297600000,-1,07-29
SYRUP,1785297600000,-1,07-29
APT,1785297600000,-1,07-29
AR,1785297600000,-1,07-29
WIF,1785297600000,-1,07-29
ATOM,1785297600000,-1,07-29
ASTER,1785297600000,-1,07-29
MOVE,1785297600000,-1,07-29
STRK,1785297600000,-1,07-29
ENS,1785297600000,-1,07-29
FARTCOIN,1785297600000,-1,07-29
IMX,1785297600000,-1,07-29
kFLOKI,1785297600000,-1,07-29
ALGO,1785297600000,-1,07-29
ZRO,1785297600000,-1,07-29
GRAM,1785298500000,-1,07-29
INJ,1785298500000,-1,07-29
MEGA,1785298500000,-1,07-29
BRETT,1785299400000,-1,07-29
DASH,1785300300000,-1,07-29
XMR,1785308400000,1,07-29
HEMI,1785309300000,1,07-29
CHIP,1785310200000,1,07-29
FET,1785312000000,-1,07-29
NEAR,1785312900000,-1,07-29
SKY,1785312900000,1,07-29
JUP,1785316500000,1,07-29
CC,1785316500000,1,07-29
UNI,1785316500000,1,07-29
TRB,1785318300000,1,07-29
JUP,1785319200000,1,07-29
UNI,1785320100000,1,07-29
PEOPLE,1785321900000,-1,07-29
EIGEN,1785322800000,-1,07-29
UNI,1785323700000,1,07-29
UNI,1785324600000,1,07-29
EIGEN,1785324600000,-1,07-29
kSHIB,1785326400000,1,07-29
MOVE,1785327300000,-1,07-29
UNI,1785331800000,1,07-29
IMX,1785332700000,-1,07-29
APT,1785333600000,-1,07-29
XMR,1785333600000,1,07-29
PEOPLE,1785335400000,-1,07-29
WLFI,1785335400000,1,07-29
OP,1785335400000,-1,07-29
ZORA,1785338100000,-1,07-29
MNT,1785338100000,-1,07-29
ICP,1785339900000,-1,07-29
STRK,1785340800000,-1,07-29
ENA,1785340800000,-1,07-29
BERA,1785340800000,-1,07-29
IMX,1785340800000,-1,07-29
KAITO,1785340800000,1,07-29
XPL,1785340800000,-1,07-29
KAITO,1785341700000,1,07-29
ALGO,1785342600000,-1,07-29
FIL,1785342600000,-1,07-29
ENA,1785342600000,-1,07-29
FIL,1785343500000,-1,07-29
KAITO,1785343500000,1,07-29
ALGO,1785344400000,-1,07-29
MORPHO,1785348000000,-1,07-29
PAXG,1785348000000,1,07-29
DOT,1785348000000,1,07-29
PAXG,1785350700000,1,07-29
HMSTR,1785351600000,-1,07-29
HYPE,1785352500000,-1,07-29
VVV,1785352500000,-1,07-29
BRETT,1785352500000,-1,07-29
PENGU,1785353400000,-1,07-29
XLM,1785353400000,-1,07-29
BRETT,1785353400000,-1,07-29
LDO,1785353400000,-1,07-29
HYPE,1785353400000,-1,07-29
BCH,1785353400000,-1,07-29
ALGO,1785353400000,-1,07-29
ENA,1785354300000,-1,07-29
BRETT,1785354300000,-1,07-29
WIF,1785354300000,-1,07-29
RUNE,1785354300000,-1,07-29
MORPHO,1785354300000,-1,07-29
PENDLE,1785354300000,-1,07-29
DOGE,1785354300000,-1,07-29
BCH,1785354300000,-1,07-29
PENGU,1785354300000,-1,07-29
TIA,1785354300000,-1,07-29
CRV,1785354300000,-1,07-29
HEMI,1785355200000,-1,07-29
MINA,1785355200000,-1,07-29
FIL,1785355200000,-1,07-29
ZEN,1785355200000,-1,07-29
XLM,1785355200000,-1,07-29
STRK,1785355200000,-1,07-29
HMSTR,1785355200000,-1,07-29
CRV,1785355200000,-1,07-29
BCH,1785355200000,-1,07-29
PYTH,1785355200000,-1,07-29
AVNT,1785355200000,-1,07-29
IMX,1785355200000,-1,07-29
LINK,1785355200000,-1,07-29
TRB,1785356100000,-1,07-29
BRETT,1785356100000,-1,07-29
SKY,1785356100000,-1,07-29
EIGEN,1785356100000,-1,07-29
PENDLE,1785356100000,-1,07-29
MINA,1785356100000,-1,07-29
ENA,1785356100000,-1,07-29
kLUNC,1785356100000,-1,07-29
CRV,1785356100000,-1,07-29
RENDER,1785356100000,-1,07-29
MOODENG,1785356100000,-1,07-29
STRK,1785356100000,-1,07-29
kPEPE,1785356100000,-1,07-29
AXS,1785356100000,-1,07-29
AR,1785356100000,-1,07-29
SAND,1785356100000,-1,07-29
DOGE,1785356100000,-1,07-29
GRASS,1785356100000,-1,07-29
PUMP,1785356100000,-1,07-29
kNEIRO,1785356100000,-1,07-29
ICP,1785356100000,-1,07-29
STRK,1785357900000,-1,07-29
GRASS,1785357900000,-1,07-29
LIT,1785357900000,-1,07-29
LINEA,1785357900000,-1,07-29
POPCAT,1785357900000,-1,07-29
SKY,1785357900000,-1,07-29
VVV,1785358800000,-1,07-29
DASH,1785360600000,-1,07-29
WLFI,1785369600000,1,07-30
STRK,1785371400000,-1,07-30
STRK,1785372300000,-1,07-30
ARB,1785375000000,1,07-30
CAKE,1785376800000,1,07-30
RUNE,1785381300000,1,07-30
SYRUP,1785384000000,-1,07-30
INJ,1785389400000,1,07-30
JTO,1785391200000,-1,07-30
STRK,1785391200000,-1,07-30
AERO,1785397500000,1,07-30
FET,1785399300000,1,07-30
ETC,1785401100000,1,07-30
ETC,1785405600000,1,07-30
BNB,1785405600000,1,07-30
BNB,1785407400000,1,07-30
JTO,1785407400000,-1,07-30
CAKE,1785407400000,1,07-30
CAKE,1785408300000,1,07-30
BNB,1785409200000,1,07-30
UNI,1785410100000,1,07-30
KAITO,1785410100000,-1,07-30
BOME,1785410100000,1,07-30
HYPE,1785411000000,-1,07-30
VIRTUAL,1785411900000,1,07-30
LINK,1785412800000,1,07-30
SUSHI,1785412800000,1,07-30
STRK,1785413700000,-1,07-30
JTO,1785414600000,-1,07-30
UNI,1785415500000,1,07-30
LDO,1785416400000,1,07-30
UNI,1785416400000,1,07-30
BOME,1785416400000,1,07-30
LINK,1785419100000,1,07-30
ENA,1785419100000,1,07-30
BCH,1785419100000,1,07-30
MOODENG,1785419100000,1,07-30
BOME,1785419100000,1,07-30
UNI,1785419100000,1,07-30
ADA,1785421800000,1,07-30
CAKE,1785421800000,1,07-30
ADA,1785422700000,1,07-30
ADA,1785423600000,1,07-30
MET,1785423600000,-1,07-30
HEMI,1785424500000,1,07-30
SUI,1785425400000,1,07-30
FIL,1785426300000,1,07-30
CAKE,1785427200000,1,07-30
STRK,1785427200000,-1,07-30
LDO,1785427200000,1,07-30
ACE,1785427200000,-1,07-30
SEI,1785427200000,1,07-30
UNI,1785427200000,1,07-30
BNB,1785427200000,1,07-30
UNI,1785428100000,1,07-30
CAKE,1785429900000,1,07-30
UNI,1785429900000,1,07-30
APE,1785431700000,-1,07-30
FIL,1785431700000,1,07-30
TIA,1785432600000,1,07-30
SUI,1785433500000,1,07-30
CRV,1785435300000,1,07-30
STX,1785437100000,1,07-30
TIA,1785438000000,1,07-30
TIA,1785438900000,1,07-30
EIGEN,1785438900000,1,07-30
PENGU,1785438900000,1,07-30
PURR,1785439800000,1,07-30
ACE,1785439800000,-1,07-30
PENGU,1785439800000,1,07-30
PENGU,1785440700000,1,07-30
PENGU,1785441600000,1,07-30
ZEN,1785441600000,1,07-30
APE,1785444300000,-1,07-30
PENGU,1785444300000,1,07-30
POPCAT,1785447000000,1,07-30
PURR,1785447000000,1,07-30
INJ,1785447900000,1,07-30
kFLOKI,1785448800000,1,07-30
PURR,1785449700000,1,07-30
INJ,1785449700000,1,07-30
INJ,1785450600000,1,07-30
HBAR,1785451500000,1,07-30
HBAR,1785452400000,1,07-30
INJ,1785453300000,1,07-30
POPCAT,1785456000000,1,07-31
STX,1785456000000,1,07-31
PURR,1785456000000,1,07-31
ALGO,1785456000000,1,07-31
LIT,1785456000000,1,07-31
INJ,1785456000000,1,07-31
INJ,1785456900000,1,07-31
kSHIB,1785457800000,1,07-31
INJ,1785457800000,1,07-31
kSHIB,1785458700000,1,07-31
kPEPE,1785459600000,1,07-31
SOL,1785459600000,1,07-31
TAO,1785459600000,1,07-31
BTC,1785459600000,1,07-31
MOODENG,1785459600000,1,07-31
AR,1785459600000,1,07-31
AAVE,1785460500000,1,07-31
PURR,1785460500000,1,07-31
VVV,1785460500000,1,07-31
SKY,1785461400000,1,07-31
ZRO,1785462300000,-1,07-31
ETC,1785463200000,-1,07-31
ZEC,1785464100000,-1,07-31
ETC,1785465000000,-1,07-31
SKY,1785465000000,1,07-31
ZEC,1785465000000,-1,07-31
APE,1785465000000,-1,07-31
AVAX,1785465900000,-1,07-31
MOVE,1785465900000,-1,07-31
APE,1785465900000,-1,07-31
ZRO,1785465900000,-1,07-31
ETC,1785466800000,-1,07-31
APE,1785466800000,-1,07-31
APE,1785467700000,-1,07-31
ATOM,1785468600000,-1,07-31
ATOM,1785470400000,-1,07-31
OP,1785472200000,-1,07-31
kBONK,1785473100000,-1,07-31
HEMI,1785478500000,1,07-31
ZRO,1785479400000,-1,07-31
ZRO,1785480300000,-1,07-31
ARB,1785480300000,-1,07-31
kLUNC,1785481200000,-1,07-31
SAND,1785481200000,1,07-31
ZRO,1785481200000,-1,07-31
APT,1785481200000,-1,07-31
kBONK,1785481200000,-1,07-31
WIF,1785481200000,-1,07-31
MNT,1785482100000,-1,07-31
LINK,1785482100000,-1,07-31
SPX,1785482100000,-1,07-31
SAND,1785482100000,1,07-31
XLM,1785482100000,-1,07-31
AXS,1785483000000,1,07-31
SAND,1785483000000,1,07-31
LIT,1785484800000,-1,07-31
WLFI,1785484800000,-1,07-31
kNEIRO,1785484800000,1,07-31
kNEIRO,1785485700000,1,07-31
MINA,1785488400000,-1,07-31
SEI,1785488400000,-1,07-31
ZRO,1785489300000,-1,07-31
BLUR,1785489300000,-1,07-31
BCH,1785489300000,-1,07-31
RENDER,1785489300000,-1,07-31
DOGE,1785490200000,-1,07-31
OP,1785491100000,-1,07-31
TRX,1785491100000,-1,07-31
kLUNC,1785492000000,-1,07-31
TRX,1785492000000,-1,07-31
IMX,1785492000000,-1,07-31
SYRUP,1785493800000,1,07-31
NIL,1785494700000,-1,07-31
NIL,1785495600000,-1,07-31
NIL,1785496500000,-1,07-31
VVV,1785496500000,-1,07-31
OP,1785497400000,-1,07-31
OP,1785499200000,-1,07-31
AAVE,1785499200000,-1,07-31
XLM,1785499200000,-1,07-31
FARTCOIN,1785499200000,-1,07-31
RUNE,1785500100000,-1,07-31
VVV,1785501900000,-1,07-31
BTC,1785504600000,-1,07-31
XRP,1785504600000,-1,07-31
MELANIA,1785505500000,-1,07-31
BTC,1785505500000,-1,07-31
kLUNC,1785505500000,-1,07-31
TAO,1785505500000,-1,07-31
AERO,1785505500000,-1,07-31
ASTER,1785505500000,-1,07-31
AVAX,1785505500000,-1,07-31
LINK,1785505500000,-1,07-31
XRP,1785505500000,-1,07-31
ETH,1785505500000,-1,07-31
LINK,1785506400000,-1,07-31
MNT,1785506400000,-1,07-31
DOT,1785506400000,-1,07-31
LDO,1785506400000,-1,07-31
RENDER,1785506400000,-1,07-31
kLUNC,1785506400000,-1,07-31
BTC,1785506400000,-1,07-31
SKY,1785506400000,-1,07-31
LIT,1785506400000,-1,07-31
ORDI,1785506400000,1,07-31
ORDI,1785507300000,1,07-31
ORDI,1785508200000,1,07-31
PUMP,1785509100000,1,07-31
ACE,1785510000000,1,07-31
ENA,1785510000000,-1,07-31
MINA,1785511800000,-1,07-31
CHIP,1785512700000,1,07-31
HMSTR,1785512700000,1,07-31
LDO,1785512700000,-1,07-31
PEOPLE,1785513600000,1,07-31
POPCAT,1785513600000,1,07-31
LDO,1785513600000,-1,07-31
PURR,1785514500000,-1,07-31
PURR,1785515400000,-1,07-31
PUMP,1785515400000,1,07-31
HYPE,1785515400000,-1,07-31
PURR,1785516300000,-1,07-31
HYPE,1785516300000,-1,07-31
MET,1785516300000,1,07-31
CC,1785516300000,-1,07-31
HEMI,1785516300000,1,07-31
ORDI,1785518100000,1,07-31
NEAR,1785518100000,1,07-31
ETHFI,1785518100000,1,07-31
CHIP,1785518100000,1,07-31
MOODENG,1785519000000,1,07-31
ETHFI,1785519000000,1,07-31
ORDI,1785519000000,1,07-31
ETHFI,1785519900000,1,07-31
PURR,1785522600000,-1,07-31
NIL,1785524400000,-1,07-31
MOVE,1785526200000,-1,07-31
HYPE,1785526200000,-1,07-31
ORDI,1785527100000,1,07-31
PURR,1785528000000,-1,07-31
ORDI,1785528000000,1,07-31
HYPE,1785528000000,-1,07-31
SKY,1785528900000,-1,07-31
ONDO,1785530700000,-1,07-31
VIRTUAL,1785530700000,-1,07-31
SPX,1785530700000,-1,07-31
AAVE,1785531600000,-1,07-31
TRUMP,1785531600000,-1,07-31
VIRTUAL,1785534300000,-1,07-31
SOL,1785534300000,-1,07-31
ONDO,1785534300000,-1,07-31
MON,1785535200000,-1,07-31
LTC,1785536100000,-1,07-31
LTC,1785537900000,-1,07-31
PEOPLE,1785539700000,-1,07-31
DASH,1785542400000,1,08-01
GALA,1785544200000,1,08-01
APE,1785544200000,1,08-01
kNEIRO,1785544200000,1,08-01
ORDI,1785544200000,1,08-01
AAVE,1785545100000,-1,08-01
ORDI,1785545100000,1,08-01
HBAR,1785545100000,1,08-01
kSHIB,1785545100000,1,08-01
MOODENG,1785546000000,1,08-01
ZORA,1785547800000,1,08-01
LDO,1785547800000,-1,08-01
ZORA,1785548700000,1,08-01
ALGO,1785549600000,1,08-01
kSHIB,1785556800000,1,08-01
ZEN,1785556800000,1,08-01
ZRO,1785557700000,1,08-01
PUMP,1785559500000,1,08-01
BRETT,1785562200000,1,08-01
HYPE,1785562200000,-1,08-01
TIA,1785566700000,1,08-01
DASH,1785567600000,1,08-01
MEGA,1785569400000,1,08-01
CAKE,1785573000000,-1,08-01
FIL,1785573900000,1,08-01
CAKE,1785573900000,-1,08-01
TIA,1785574800000,1,08-01
SKY,1785574800000,-1,08-01
CAKE,1785574800000,-1,08-01
ZEN,1785575700000,1,08-01
NIL,1785577500000,-1,08-01
CAKE,1785578400000,-1,08-01
TRX,1785578400000,1,08-01
AERO,1785578400000,-1,08-01
AAVE,1785578400000,-1,08-01
TRX,1785579300000,1,08-01
CAKE,1785579300000,-1,08-01
POL,1785585600000,1,08-01
AR,1785586500000,1,08-01
AERO,1785586500000,-1,08-01
AERO,1785587400000,-1,08-01
ADA,1785588300000,1,08-01
TRX,1785589200000,1,08-01
POL,1785589200000,1,08-01
ADA,1785589200000,1,08-01
RUNE,1785592800000,1,08-01
JUP,1785592800000,-1,08-01
DOT,1785595500000,1,08-01
KAITO,1785595500000,1,08-01
ZEC,1785595500000,1,08-01
BOME,1785597300000,-1,08-01
kSHIB,1785598200000,1,08-01
LDO,1785599100000,-1,08-01
LDO,1785600000000,-1,08-01
CRV,1785600900000,-1,08-01
CRV,1785601800000,-1,08-01
ZEC,1785601800000,1,08-01
LDO,1785602700000,-1,08-01
CRV,1785602700000,-1,08-01
LTC,1785602700000,-1,08-01
STRK,1785602700000,-1,08-01
POPCAT,1785602700000,-1,08-01
POPCAT,1785603600000,-1,08-01
FET,1785603600000,-1,08-01
LDO,1785603600000,-1,08-01
KAITO,1785603600000,1,08-01
WIF,1785603600000,-1,08-01
AERO,1785604500000,-1,08-01
KAITO,1785604500000,1,08-01
BTC,1785604500000,-1,08-01
LINK,1785604500000,-1,08-01
WIF,1785604500000,-1,08-01
SOL,1785604500000,-1,08-01
JUP,1785604500000,-1,08-01
KAITO,1785605400000,1,08-01
LINEA,1785605400000,-1,08-01
AVAX,1785605400000,-1,08-01
SOL,1785605400000,-1,08-01
OP,1785606300000,-1,08-01
PYTH,1785606300000,-1,08-01
ICP,1785606300000,-1,08-01
FIL,1785606300000,-1,08-01
ETC,1785607200000,-1,08-01
LDO,1785607200000,-1,08-01
FIL,1785607200000,-1,08-01
CHIP,1785608100000,-1,08-01
BTC,1785608100000,-1,08-01
LINK,1785608100000,-1,08-01
SOL,1785608100000,-1,08-01
ETC,1785608100000,-1,08-01
AXS,1785608100000,-1,08-01
ZRO,1785608100000,-1,08-01
BIO,1785608100000,-1,08-01
BLUR,1785608100000,-1,08-01
SEI,1785608100000,-1,08-01
ETH,1785608100000,-1,08-01
AVAX,1785608100000,-1,08-01
LDO,1785608100000,-1,08-01
LINEA,1785608100000,-1,08-01
AERO,1785608100000,-1,08-01
OP,1785608100000,-1,08-01
SUI,1785608100000,-1,08-01
CC,1785608100000,-1,08-01
XLM,1785609000000,-1,08-01
STX,1785609000000,-1,08-01
kLUNC,1785609000000,-1,08-01
AERO,1785609000000,-1,08-01
XPL,1785609000000,-1,08-01
BNB,1785609000000,-1,08-01
JTO,1785609000000,-1,08-01
TRB,1785609000000,-1,08-01
TAO,1785609000000,-1,08-01
SUI,1785609000000,-1,08-01
PENGU,1785609000000,-1,08-01
PENDLE,1785609000000,-1,08-01
EIGEN,1785609000000,-1,08-01
LDO,1785609000000,-1,08-01
LINEA,1785609000000,-1,08-01
BOME,1785609000000,-1,08-01
SOL,1785609000000,-1,08-01
CHIP,1785609000000,-1,08-01
ETHFI,1785609000000,-1,08-01
BTC,1785609000000,-1,08-01
SAND,1785609000000,-1,08-01
BLUR,1785609000000,-1,08-01
XRP,1785609000000,-1,08-01
ETH,1785609000000,-1,08-01
AVAX,1785609000000,-1,08-01
LINK,1785609000000,-1,08-01
JUP,1785609000000,-1,08-01
POPCAT,1785609000000,-1,08-01
GALA,1785609000000,-1,08-01
RENDER,1785609000000,-1,08-01
OP,1785609000000,-1,08-01
FIL,1785609000000,-1,08-01
GRAM,1785609000000,-1,08-01
APT,1785609000000,-1,08-01
AXS,1785609000000,-1,08-01
PAXG,1785609000000,-1,08-01
ETC,1785609000000,-1,08-01
ENS,1785609000000,-1,08-01
NIL,1785609000000,-1,08-01
FET,1785609000000,-1,08-01
MINA,1785609000000,-1,08-01
kFLOKI,1785609000000,-1,08-01
ONDO,1785609000000,-1,08-01
AAVE,1785609000000,-1,08-01
VIRTUAL,1785609000000,-1,08-01
STRK,1785609000000,-1,08-01
CAKE,1785609000000,-1,08-01
AVNT,1785609000000,-1,08-01
AR,1785609000000,-1,08-01
SPX,1785609000000,-1,08-01
BCH,1785609000000,-1,08-01
LTC,1785609000000,-1,08-01
ZRO,1785609000000,-1,08-01
ICP,1785609000000,-1,08-01
MELANIA,1785609000000,-1,08-01
DOGE,1785609000000,-1,08-01
WIF,1785609000000,-1,08-01
ENA,1785609000000,-1,08-01
APE,1785609000000,-1,08-01
BIO,1785609000000,-1,08-01
kBONK,1785609000000,-1,08-01
SEI,1785609000000,-1,08-01
AVAX,1785609900000,-1,08-01
ETHFI,1785609900000,-1,08-01
ETC,1785609900000,-1,08-01
DOGE,1785609900000,-1,08-01
CRV,1785610800000,-1,08-01
CRV,1785611700000,-1,08-01
STRK,1785611700000,-1,08-01
AERO,1785616200000,-1,08-01
ICP,1785616200000,-1,08-01
ARB,1785620700000,1,08-01
WIF,1785627000000,-1,08-01
WLFI,1785628800000,1,08-02
PAXG,1785629700000,1,08-02
STRK,1785629700000,-1,08-02
MET,1785630600000,-1,08-02
PAXG,1785630600000,1,08-02
MET,1785631500000,-1,08-02
DOT,1785632400000,1,08-02
NEAR,1785632400000,1,08-02
kPEPE,1785632400000,1,08-02
DOT,1785633300000,1,08-02
PUMP,1785635100000,1,08-02
kPEPE,1785635100000,1,08-02
ADA,1785636000000,1,08-02
EIGEN,1785636000000,1,08-02
kPEPE,1785636000000,1,08-02
TRUMP,1785636000000,1,08-02
BTC,1785636000000,1,08-02
SOL,1785636000000,1,08-02
PAXG,1785636000000,1,08-02
APT,1785636000000,1,08-02
DOT,1785636000000,1,08-02
ENA,1785636000000,1,08-02
VIRTUAL,1785636000000,1,08-02
ATOM,1785636900000,1,08-02
XLM,1785636900000,1,08-02
LIT,1785636900000,1,08-02
LINK,1785636900000,1,08-02
ENA,1785637800000,1,08-02
XLM,1785638700000,1,08-02
CASHCAT,1785641400000,-1,08-02
kPEPE,1785641400000,1,08-02
ENA,1785641400000,1,08-02
ENA,1785642300000,1,08-02
NEAR,1785643200000,1,08-02
ADA,1785643200000,1,08-02
ARB,1785643200000,1,08-02
ENA,1785643200000,1,08-02
ENA,1785644100000,1,08-02
SOL,1785644100000,1,08-02
ADA,1785644100000,1,08-02
XLM,1785644100000,1,08-02
WLD,1785644100000,1,08-02
PAXG,1785644100000,1,08-02
kBONK,1785645000000,1,08-02
ENA,1785645000000,1,08-02
MET,1785645000000,-1,08-02
EIGEN,1785645900000,1,08-02
JUP,1785645900000,1,08-02
SUSHI,1785645900000,1,08-02
AVAX,1785645900000,1,08-02
XLM,1785647700000,1,08-02
AVAX,1785647700000,1,08-02
ARB,1785647700000,1,08-02
ARB,1785648600000,1,08-02
PEOPLE,1785648600000,1,08-02
WLD,1785648600000,1,08-02
kPEPE,1785648600000,1,08-02
NEAR,1785648600000,1,08-02
ADA,1785648600000,1,08-02
TRUMP,1785648600000,1,08-02
kPEPE,1785649500000,1,08-02
PEOPLE,1785649500000,1,08-02
EIGEN,1785649500000,1,08-02
VIRTUAL,1785651300000,1,08-02
PEOPLE,1785651300000,1,08-02
AERO,1785653100000,-1,08-02
LIT,1785654000000,1,08-02
VIRTUAL,1785654000000,1,08-02
VIRTUAL,1785654900000,1,08-02
JTO,1785656700000,-1,08-02
BOME,1785656700000,1,08-02
AERO,1785656700000,-1,08-02
MOODENG,1785656700000,1,08-02
AERO,1785657600000,-1,08-02
RUNE,1785657600000,1,08-02
AERO,1785658500000,-1,08-02
AERO,1785659400000,-1,08-02
AERO,1785660300000,-1,08-02
POPCAT,1785663900000,1,08-02
BOME,1785664800000,1,08-02
HYPE,1785665700000,-1,08-02
PURR,1785665700000,-1,08-02
JTO,1785666600000,-1,08-02
NIL,1785666600000,1,08-02
SUSHI,1785667500000,1,08-02
ZEN,1785671100000,1,08-02
ADA,1785672000000,1,08-02
PENGU,1785672900000,1,08-02
MET,1785672900000,-1,08-02
IMX,1785673800000,1,08-02
ALGO,1785673800000,1,08-02
FIL,1785673800000,1,08-02
SAND,1785675600000,1,08-02
ADA,1785675600000,1,08-02
ALGO,1785676500000,1,08-02
ALGO,1785677400000,1,08-02
NIL,1785677400000,1,08-02
KAITO,1785679200000,-1,08-02
PEOPLE,1785680100000,1,08-02
PAXG,1785681900000,1,08-02
SAND,1785682800000,1,08-02
HEMI,1785683700000,1,08-02
KAITO,1785683700000,-1,08-02
GRAM,1785684600000,1,08-02
ALGO,1785685500000,1,08-02
BRETT,1785685500000,-1,08-02
STX,1785686400000,1,08-02
ALGO,1785686400000,1,08-02
ALGO,1785689100000,1,08-02
PAXG,1785689100000,1,08-02
MNT,1785689100000,1,08-02
ALGO,1785690000000,1,08-02
PAXG,1785691800000,1,08-02
kLUNC,1785691800000,1,08-02
PURR,1785692700000,1,08-02
PAXG,1785692700000,1,08-02
INJ,1785695400000,1,08-02
kLUNC,1785695400000,1,08-02
AAVE,1785695400000,1,08-02
kLUNC,1785696300000,1,08-02
ORDI,1785696300000,-1,08-02
INJ,1785699000000,1,08-02
ZEC,1785699000000,1,08-02
INJ,1785699900000,1,08-02
ZEC,1785699900000,1,08-02
PURR,1785699900000,1,08-02
