close_time,symbol,side,entry_time,entry_px,exit_px,hold_h,gross_bps,fee_bps,net_bps,pnl_usd,reason,entry_bid,entry_ask,exit_bid,exit_ask,cum_pnl
2026-07-18 04:45:16,TRUMP,SHORT,2026-07-18 04:29:59,1.6606,1.6512,0.25,56.6,3.0,53.6,0.5361,reclaim,1.6597,1.6606,1.6512,1.6519,0.5361
2026-07-18 05:00:16,INJ,SHORT,2026-07-17 23:59:59,5.1421,5.0901,5.00,101.1,3.0,98.1,0.9813,reclaim,5.1404,5.1421,5.0901,5.0917,1.5173
2026-07-18 08:45:16,VVV,SHORT,2026-07-18 07:29:59,11.624,11.565,1.25,50.8,3.0,47.8,0.4776,reclaim,11.623,11.624,11.565,11.57,1.9949
2026-07-18 10:15:16,ZORA,LONG,2026-07-18 02:14:59,0.006511,0.006286,8.00,-345.6,3.0,-348.6,-3.4857,backstop,0.006511,0.006513,0.006284,0.006286,-1.4908
2026-07-18 10:45:16,ETHFI,SHORT,2026-07-18 10:14:59,0.45357,0.44952,0.50,89.3,3.0,86.3,0.8629,reclaim,0.45334,0.45357,0.44952,0.44963,-0.6279
2026-07-18 11:45:16,ETHFI,SHORT,2026-07-18 11:29:59,0.45605,0.45433,0.25,37.7,3.0,34.7,0.3472,reclaim,0.45597,0.45605,0.45433,0.45436,-0.2807
2026-07-18 13:30:16,TRUMP,SHORT,2026-07-18 10:14:59,1.7001,1.6541,3.25,270.6,3.0,267.6,2.6757,reclaim,1.6992,1.7001,1.6541,1.6542,2.3950
2026-07-18 14:30:16,WLD,LONG,2026-07-18 12:29:59,0.35997,0.37278,2.00,355.9,3.0,352.9,3.5286,reclaim,0.35997,0.36006,0.37271,0.37278,5.9236
2026-07-18 14:30:17,ETHFI,SHORT,2026-07-18 12:59:59,0.45974,0.45762,1.50,46.1,3.0,43.1,0.4311,reclaim,0.45959,0.45974,0.45762,0.4578,6.3548
2026-07-18 16:45:16,FARTCOIN,LONG,2026-07-18 08:44:59,0.12848,0.1289,8.00,32.7,3.0,29.7,0.2969,backstop,0.12848,0.12853,0.12887,0.1289,6.6517
2026-07-18 17:30:16,PENGU,SHORT,2026-07-18 16:59:59,0.006228,0.006144,0.50,134.9,3.0,131.9,1.3187,reclaim,0.006226,0.006228,0.006144,0.006147,7.9704
2026-07-18 18:00:16,SPX,LONG,2026-07-18 17:29:59,0.33347,0.33843,0.50,148.7,3.0,145.7,1.4574,reclaim,0.33347,0.33353,0.33827,0.33843,9.4278
2026-07-18 21:15:16,AERO,LONG,2026-07-18 18:29:59,0.44309,0.4475,2.75,99.5,3.0,96.5,0.9653,reclaim,0.44309,0.44318,0.44726,0.4475,10.3931
2026-07-18 22:45:16,kBONK,LONG,2026-07-18 14:44:59,0.002831,0.002789,8.00,-148.4,3.0,-151.4,-1.5136,backstop,0.002831,0.002832,0.002788,0.002789,8.8795
