close_time,symbol,side,entry_time,entry_px,exit_px,hold_h,gross_bps,fee_bps,net_bps,pnl_usd,reason,entry_bid,entry_ask,exit_bid,exit_ask,cum_pnl
2026-07-18 00:40:16,VVV,SHORT,2026-07-18 00:29:59,11.455,11.305,0.17,130.9,3.0,127.9,1.2795,reclaim,11.45,11.455,11.305,11.309,1.2795
2026-07-18 00:45:16,AERO,LONG,2026-07-18 00:34:59,0.46,0.46207,0.17,45.0,3.0,42.0,0.4200,reclaim,0.46,0.46019,0.46185,0.46207,1.6995
2026-07-18 00:55:16,ETHFI,SHORT,2026-07-18 00:39:59,0.44407,0.44215,0.25,43.2,3.0,40.2,0.4024,reclaim,0.44387,0.44407,0.44215,0.44231,2.1018
2026-07-18 01:40:16,MET,LONG,2026-07-18 01:34:59,0.12796,0.12825,0.09,22.7,3.0,19.7,0.1966,reclaim,0.12796,0.12811,0.12818,0.12825,2.2985
2026-07-18 02:10:17,JUP,SHORT,2026-07-18 02:04:59,0.19863,0.19741,0.09,61.4,3.0,58.4,0.5842,reclaim,0.19857,0.19863,0.19741,0.19751,2.8827
2026-07-18 02:15:16,TIA,LONG,2026-07-18 02:04:59,0.36755,0.36927,0.17,46.8,3.0,43.8,0.4380,reclaim,0.36755,0.36765,0.36918,0.36927,3.3206
2026-07-18 02:20:16,ARB,SHORT,2026-07-18 01:14:59,0.09197,0.09132,1.09,70.7,3.0,67.7,0.6768,reclaim,0.09196,0.09197,0.09132,0.09133,3.9974
2026-07-18 02:40:16,VVV,SHORT,2026-07-18 02:09:59,11.518,11.446,0.50,62.5,3.0,59.5,0.5951,reclaim,11.51,11.518,11.446,11.451,4.5925
2026-07-18 04:05:16,SPX,SHORT,2026-07-18 03:59:59,0.3617,0.36113,0.09,15.8,3.0,12.8,0.1276,reclaim,0.36139,0.3617,0.36113,0.3612,4.7201
2026-07-18 04:40:16,TRUMP,SHORT,2026-07-18 04:29:59,1.6598,1.6444,0.17,92.8,3.0,89.8,0.8978,reclaim,1.659,1.6598,1.6444,1.6452,5.6179
2026-07-18 04:45:16,kBONK,LONG,2026-07-18 04:34:59,0.003018,0.003022,0.17,13.3,3.0,10.3,0.1025,reclaim,0.003018,0.003019,0.003021,0.003022,5.7205
2026-07-18 08:05:18,ETHFI,SHORT,2026-07-18 07:59:59,0.44231,0.44014,0.09,49.1,3.0,46.1,0.4606,reclaim,0.44202,0.44231,0.44014,0.4403,6.1811
2026-07-18 08:10:16,MET,SHORT,2026-07-18 06:34:59,0.13696,0.13638,1.59,42.3,3.0,39.3,0.3935,reclaim,0.13686,0.13696,0.13638,0.13652,6.5745
2026-07-18 08:20:17,FARTCOIN,LONG,2026-07-18 08:09:59,0.13086,0.1311,0.17,18.3,3.0,15.3,0.1534,reclaim,0.13086,0.13092,0.13107,0.1311,6.7279
2026-07-18 08:40:16,VVV,SHORT,2026-07-18 07:49:59,11.668,11.661,0.84,6.0,3.0,3.0,0.0300,reclaim,11.661,11.668,11.661,11.665,6.7579
2026-07-18 09:20:17,HMSTR,SHORT,2026-07-18 08:39:59,0.000187,0.000183,0.67,213.9,3.0,210.9,2.1090,reclaim,0.000186,0.000187,0.000183,0.000184,8.8670
2026-07-18 10:00:16,kBONK,LONG,2026-07-18 07:09:59,0.002983,0.003003,2.84,67.0,3.0,64.0,0.6405,reclaim,0.002983,0.002984,0.003002,0.003003,9.5074
2026-07-18 12:35:18,ZORA,LONG,2026-07-18 12:24:59,0.006231,0.006258,0.17,43.3,3.0,40.3,0.4033,reclaim,0.006231,0.006237,0.006256,0.006258,9.9108
2026-07-18 12:40:18,WLD,LONG,2026-07-18 12:24:59,0.36393,0.36775,0.26,105.0,3.0,102.0,1.0197,reclaim,0.36393,0.36394,0.36755,0.36775,10.9304
2026-07-18 12:50:18,CHIP,SHORT,2026-07-18 12:34:59,0.031907,0.031571,0.26,105.3,3.0,102.3,1.0231,reclaim,0.031888,0.031907,0.031571,0.03159,11.9535
2026-07-18 13:10:18,kBONK,LONG,2026-07-18 13:04:59,0.002926,0.00293,0.09,13.7,3.0,10.7,0.1067,reclaim,0.002926,0.002928,0.002929,0.00293,12.0602
2026-07-18 13:25:17,TRUMP,SHORT,2026-07-18 10:04:59,1.6904,1.6616,3.34,170.4,3.0,167.4,1.6737,reclaim,1.6897,1.6904,1.6616,1.6621,13.7339
2026-07-18 16:35:16,FARTCOIN,LONG,2026-07-18 08:34:59,0.12866,0.12905,8.00,30.3,3.0,27.3,0.2731,backstop,0.12866,0.12868,0.12901,0.12905,14.0070
2026-07-18 17:10:17,PENGU,SHORT,2026-07-18 16:54:59,0.006227,0.006183,0.25,70.7,3.0,67.7,0.6766,reclaim,0.006224,0.006227,0.006183,0.006185,14.6836
2026-07-18 18:00:16,ETHFI,SHORT,2026-07-18 09:59:59,0.45126,0.45853,8.00,-161.1,3.0,-164.1,-1.6410,backstop,0.45106,0.45126,0.45853,0.45877,13.0426
2026-07-18 20:20:16,AERO,LONG,2026-07-18 12:19:59,0.45747,0.4457,8.00,-257.3,3.0,-260.3,-2.6028,backstop,0.45747,0.45779,0.44537,0.4457,10.4397
2026-07-18 21:55:16,kBONK,LONG,2026-07-18 13:54:59,0.002891,0.0028,8.00,-314.8,3.0,-317.8,-3.1777,backstop,0.002891,0.002893,0.002799,0.0028,7.2620
2026-07-18 23:00:16,PURR,SHORT,2026-07-18 22:54:59,0.072885,0.072678,0.09,28.4,3.0,25.4,0.2540,reclaim,0.072675,0.072885,0.072678,0.072884,7.5161
2026-07-19 00:55:16,STBL,SHORT,2026-07-18 23:44:59,0.020913,0.020832,1.17,38.7,3.0,35.7,0.3573,reclaim,0.020892,0.020913,0.020832,0.020845,7.8734
2026-07-19 02:15:17,PURR,SHORT,2026-07-19 02:04:59,0.073109,0.072852,0.17,35.2,3.0,32.2,0.3215,reclaim,0.072837,0.073109,0.072852,0.073108,8.1949
2026-07-19 02:45:16,VVV,SHORT,2026-07-19 01:44:59,11.932,11.867,1.00,54.5,3.0,51.5,0.5148,reclaim,11.93,11.932,11.867,11.868,8.7097
2026-07-19 04:10:16,STBL,SHORT,2026-07-19 01:19:59,0.02122,0.021075,2.84,68.3,3.0,65.3,0.6533,reclaim,0.021196,0.02122,0.021075,0.021081,9.3630
2026-07-19 04:20:16,KAITO,SHORT,2026-07-19 03:34:59,0.86672,0.8458,0.75,241.4,3.0,238.4,2.3837,reclaim,0.86599,0.86672,0.8458,0.84588,11.7467
2026-07-19 06:40:16,GRASS,SHORT,2026-07-19 06:34:59,0.36363,0.36317,0.09,12.7,3.0,9.7,0.0965,reclaim,0.36346,0.36363,0.36317,0.36327,11.8432
2026-07-19 11:20:17,STBL,SHORT,2026-07-19 11:14:59,0.02133,0.021305,0.09,11.7,3.0,8.7,0.0872,reclaim,0.021296,0.02133,0.021305,0.021379,11.9304
2026-07-19 11:50:17,SUSHI,SHORT,2026-07-19 11:19:59,0.17614,0.17476,0.50,78.3,3.0,75.3,0.7535,reclaim,0.1759,0.17614,0.17476,0.17487,12.6838
2026-07-19 12:20:17,ZORA,SHORT,2026-07-19 10:44:59,0.006631,0.006472,1.59,239.8,3.0,236.8,2.3678,reclaim,0.006616,0.006631,0.006472,0.006476,15.0517
2026-07-19 12:45:16,KAITO,SHORT,2026-07-19 04:44:59,0.89131,0.95857,8.00,-754.6,3.0,-757.6,-7.5762,backstop,0.88982,0.89131,0.95857,0.95891,7.4755
2026-07-19 12:45:17,STBL,SHORT,2026-07-19 11:44:59,0.021507,0.021361,1.00,67.9,3.0,64.9,0.6488,reclaim,0.021461,0.021507,0.021361,0.021368,8.1243
2026-07-19 14:15:16,HEMI,SHORT,2026-07-19 14:09:59,0.004631,0.004598,0.09,71.3,3.0,68.3,0.6826,reclaim,0.004626,0.004631,0.004598,0.004601,8.8069
2026-07-19 16:20:16,HEMI,SHORT,2026-07-19 16:14:59,0.004666,0.00462,0.09,98.6,3.0,95.6,0.9559,reclaim,0.004663,0.004666,0.00462,0.004623,9.7628
2026-07-19 17:20:16,HEMI,SHORT,2026-07-19 17:04:59,0.004724,0.004679,0.25,95.3,3.0,92.3,0.9226,reclaim,0.00472,0.004724,0.004679,0.004682,10.6854
2026-07-19 18:55:17,ACE,SHORT,2026-07-19 18:39:59,0.0712,0.0691,0.25,294.9,3.0,291.9,2.9194,reclaim,0.071,0.0712,0.0691,0.0693,13.6048
2026-07-19 19:15:16,GRASS,SHORT,2026-07-19 19:04:59,0.36537,0.36391,0.17,40.0,3.0,37.0,0.3696,reclaim,0.36523,0.36537,0.36391,0.36412,13.9744
2026-07-19 23:15:16,CASHCAT,SHORT,2026-07-19 15:14:59,0.073762,0.080574,8.00,-923.5,3.0,-926.5,-9.2651,backstop,0.07375,0.073762,0.080574,0.080984,4.7093
2026-07-20 01:10:17,MERL,SHORT,2026-07-20 01:04:59,0.018095,0.017909,0.09,102.8,3.0,99.8,0.9979,reclaim,0.018085,0.018095,0.017909,0.017926,5.7072
2026-07-20 03:00:18,XPL,SHORT,2026-07-20 02:54:59,0.08333,0.082977,0.09,42.4,3.0,39.4,0.3936,reclaim,0.083321,0.08333,0.082977,0.083044,6.1008
2026-07-20 04:15:16,PUMP,SHORT,2026-07-19 20:14:59,0.001806,0.001948,8.00,-786.3,3.0,-789.3,-7.8927,backstop,0.001805,0.001806,0.001948,0.001949,-1.7919
2026-07-20 05:30:16,ACE,SHORT,2026-07-19 21:29:59,0.0742,0.0916,8.00,-2345.0,3.0,-2348.0,-23.4801,backstop,0.074,0.0742,0.0916,0.0918,-25.2720
2026-07-20 05:40:16,TRUMP,LONG,2026-07-19 21:39:59,1.5665,1.5748,8.00,53.0,3.0,50.0,0.4998,backstop,1.5665,1.5669,1.5745,1.5748,-24.7722
2026-07-20 07:30:16,LIT,LONG,2026-07-20 07:04:59,2.1394,2.1869,0.42,222.0,3.0,219.0,2.1902,reclaim,2.1394,2.1395,2.1857,2.1869,-22.5819
2026-07-20 07:55:16,MET,SHORT,2026-07-19 23:54:59,0.14387,0.15772,8.00,-962.7,3.0,-965.7,-9.6567,backstop,0.14367,0.14387,0.15772,0.15791,-32.2387
2026-07-20 07:55:17,YGG,LONG,2026-07-20 07:04:59,0.0183,0.018361,0.84,33.3,3.0,30.3,0.3033,reclaim,0.0183,0.018318,0.01835,0.018361,-31.9353
2026-07-20 08:10:17,MET,SHORT,2026-07-20 07:59:59,0.15811,0.1571,0.17,63.9,3.0,60.9,0.6088,reclaim,0.15799,0.15811,0.1571,0.1572,-31.3265
2026-07-20 08:15:16,JTO,SHORT,2026-07-20 00:14:59,0.58938,0.60093,8.00,-196.0,3.0,-199.0,-1.9897,backstop,0.589,0.58938,0.60093,0.60139,-33.3162
2026-07-20 09:45:16,kBONK,SHORT,2026-07-20 09:09:59,0.002994,0.002977,0.59,56.8,3.0,53.8,0.5378,reclaim,0.002993,0.002994,0.002977,0.002978,-32.7784
2026-07-20 09:45:17,NIL,SHORT,2026-07-20 09:29:59,0.035886,0.035858,0.25,7.8,3.0,4.8,0.0480,reclaim,0.03582,0.035886,0.035858,0.035908,-32.7304
2026-07-20 11:30:17,MET,SHORT,2026-07-20 11:14:59,0.16155,0.16008,0.25,91.0,3.0,88.0,0.8799,reclaim,0.16134,0.16155,0.16008,0.1602,-31.8505
2026-07-20 11:40:17,SPX,SHORT,2026-07-20 11:34:59,0.35162,0.34972,0.09,54.0,3.0,51.0,0.5104,reclaim,0.35134,0.35162,0.34972,0.34991,-31.3401
2026-07-20 12:05:17,PENDLE,SHORT,2026-07-20 11:59:59,1.5894,1.5861,0.09,20.8,3.0,17.8,0.1776,reclaim,1.5887,1.5894,1.5861,1.5869,-31.1625
2026-07-20 13:20:17,kBONK,SHORT,2026-07-20 12:09:59,0.003137,0.003102,1.17,111.6,3.0,108.6,1.0857,reclaim,0.003135,0.003137,0.003102,0.003103,-30.0768
2026-07-20 13:50:16,NIL,SHORT,2026-07-20 10:34:59,0.036067,0.035963,3.25,28.8,3.0,25.8,0.2584,reclaim,0.036014,0.036067,0.035963,0.036018,-29.8184
2026-07-20 14:00:16,SPX,SHORT,2026-07-20 12:29:59,0.35384,0.35081,1.50,85.6,3.0,82.6,0.8263,reclaim,0.35373,0.35384,0.35081,0.35099,-28.9921
2026-07-20 14:35:18,GRASS,SHORT,2026-07-20 14:29:59,0.36855,0.36624,0.09,62.7,3.0,59.7,0.5968,reclaim,0.36825,0.36855,0.36624,0.3665,-28.3953
2026-07-20 14:55:18,XPL,SHORT,2026-07-20 14:14:59,0.084104,0.083501,0.67,71.7,3.0,68.7,0.6870,reclaim,0.084047,0.084104,0.083501,0.08353,-27.7083
2026-07-20 15:10:17,YGG,LONG,2026-07-20 13:49:59,0.01798,0.018159,1.34,99.6,3.0,96.6,0.9656,reclaim,0.01798,0.017991,0.01815,0.018159,-26.7428
2026-07-20 15:40:16,HEMI,SHORT,2026-07-20 07:39:59,0.004757,0.005958,8.00,-2524.7,3.0,-2527.7,-25.2770,backstop,0.004742,0.004757,0.005958,0.005969,-52.0198
2026-07-20 15:40:18,WLD,SHORT,2026-07-20 15:34:59,0.37386,0.37122,0.09,70.6,3.0,67.6,0.6761,reclaim,0.37376,0.37386,0.37122,0.37128,-51.3436
2026-07-20 16:10:18,CASHCAT,SHORT,2026-07-20 15:59:59,0.086039,0.085317,0.17,83.9,3.0,80.9,0.8092,reclaim,0.08585,0.086039,0.085317,0.085563,-50.5345
2026-07-20 16:30:20,SPX,SHORT,2026-07-20 16:24:59,0.36154,0.36371,0.09,-60.0,3.0,-63.0,-0.6302,reclaim,0.36126,0.36154,0.36371,0.36391,-51.1647
2026-07-20 16:40:18,PENDLE,SHORT,2026-07-20 16:14:59,1.6191,1.617,0.42,13.0,3.0,10.0,0.0997,reclaim,1.6184,1.6191,1.617,1.6173,-51.0650
2026-07-20 17:05:19,SPX,SHORT,2026-07-20 16:34:59,0.36426,0.36205,0.51,60.7,3.0,57.7,0.5767,reclaim,0.36405,0.36426,0.36205,0.36232,-50.4883
2026-07-20 17:05:20,PENGU,SHORT,2026-07-20 16:59:59,0.006423,0.006391,0.09,49.8,3.0,46.8,0.4682,reclaim,0.006422,0.006423,0.006391,0.006392,-50.0201
2026-07-20 17:15:19,GRASS,SHORT,2026-07-20 16:44:59,0.37635,0.37362,0.51,72.5,3.0,69.5,0.6954,reclaim,0.37615,0.37635,0.37362,0.37372,-49.3247
2026-07-20 17:15:21,LDO,SHORT,2026-07-20 17:09:59,0.37265,0.372,0.09,17.4,3.0,14.4,0.1444,reclaim,0.37246,0.37265,0.372,0.37206,-49.1803
2026-07-20 17:30:17,WLD,SHORT,2026-07-20 16:14:59,0.3766,0.37567,1.25,24.7,3.0,21.7,0.2169,reclaim,0.37655,0.3766,0.37567,0.37571,-48.9633
2026-07-20 18:25:19,ZRO,SHORT,2026-07-20 17:24:59,0.80926,0.80234,1.01,85.5,3.0,82.5,0.8251,reclaim,0.80853,0.80926,0.80234,0.80263,-48.1382
